id,name,tagline,description,longDescription,price,category,imageUrl,features
p1,Aura Harmony,Listen naturally.,Audio that feels like the open air. Constructed with warm acoustic fabric and recycled sandstone composite.,"Experience sound as it was meant to be heard—unconfined and organic. The Aura Harmony headphones feature our proprietary open-air driver technology, encased in a breathable acoustic fabric that adapts to your temperature. The headband is crafted from a recycled sandstone composite, offering a unique, cool-to-the-touch texture that grounds you in the present moment.",429,Audio,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&q=80&w=1000,"[""Organic Noise Cancellation"",""50h Battery"",""Natural Soundstage""]"
p2,Aura Epoch,"Moments, not minutes.",A timepiece designed for wellness. Ceramic casing with a strap made from sustainable vegan leather.,"Time is not a sequence of numbers, but a flow of moments. The Aura Epoch rethinks the smartwatch interface, using a calm E-Ink hybrid display that mimics paper. It tracks stress through skin temperature and heart rate variability, gently vibrating to remind you to breathe. The ceramic casing is hypoallergenic and smooth, polished by hand for 48 hours.",349,Wearable,https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&q=80&w=1000,"[""Stress Monitoring"",""E-Ink Hybrid Display"",""7-Day Battery""]"
p3,Aura Canvas,Capture the warmth.,"A display that mimics the properties of paper. Soft on the eyes, vivid in color, and textured to the touch.","Screens shouldn't feel like looking into a lightbulb. Aura Canvas uses a matte, nano-etched OLED panel that scatters ambient light, creating a display that looks and feels like high-quality magazine paper. Perfect for reading, sketching, or displaying art, it brings a tactile warmth to your digital life.",1099,Mobile,https://images.unsplash.com/photo-1544816155-12df9643f363?auto=format&fit=crop&q=80&w=1000,"[""Paper-like OLED"",""Portrait Lens"",""Sandstone Texture""]"
p4,Aura Essence,Return to nature.,"An air purifier that doubles as a sculpture. Whisper quiet, diffusing subtle natural scents while cleaning your space.","Clean air is the foundation of a clear mind. Aura Essence uses a moss-based bio-filter combined with HEPA technology to scrub pollutants from your home. It gently diffuses natural essential oils—cedar, bergamot, and rain—orchestrated to match the time of day.",599,Home,https://images.pexels.com/photos/8092420/pexels-photo-8092420.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,"[""Bio-HEPA Filter"",""Aromatherapy"",""Silent Night Mode""]"
p5,Aura Beam,Light that breathes.,"Smart circadian lighting that follows the sun. Casts a warm, candle-like glow in the evenings.","Artificial light disrupts our natural rhythms. Aura Beam syncs with your local sunrise and sunset, providing cool, energizing light during the day and transitioning to a warm, amber glow free of blue light in the evening. Controls are touchless; a simple wave of the hand adjusts brightness.",249,Home,https://images.unsplash.com/photo-1565814329452-e1efa11c5b89?auto=format&fit=crop&q=80&w=1000,"[""Circadian Rhythm Sync"",""Warm Dimming"",""Touchless Control""]"
p6,Aura Scribe,Thought in motion.,A digital stylus with the friction of graphite. Charges wirelessly when magnetically attached to Aura Canvas.,"The connection between hand and brain is sacred. Aura Scribe features a custom elastomer tip that replicates the microscopic friction of graphite on paper. Weighted perfectly for balance, it disappears in your hand, leaving only your thoughts.",129,Mobile,https://images.pexels.com/photos/2647376/pexels-photo-2647376.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,"[""Zero Latency"",""Textured Tip"",""Wireless Charging""]"
prod-100,Aura 프리미엄 워치 100,프리미엄 디자인과 최첨단 기술의 만남,Aura 프리미엄 워치 100은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 프리미엄 워치 100은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",340000,Wearable,https://picsum.photos/seed/100/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-101,Aura 혁신적인 램프 101,혁신적인 디자인과 최첨단 기술의 만남,Aura 혁신적인 램프 101은(는) 일상에 풍요로움을 더하는 Home 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 혁신적인 램프 101은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",900000,Home,https://picsum.photos/seed/101/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-102,Aura 고급 이어버드 102,고급 디자인과 최첨단 기술의 만남,Aura 고급 이어버드 102은(는) 일상에 풍요로움을 더하는 Audio 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 고급 이어버드 102은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",520000,Audio,https://picsum.photos/seed/102/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
prod-103,Aura 자연스러운 밴드 103,자연스러운 디자인과 최첨단 기술의 만남,Aura 자연스러운 밴드 103은(는) 일상에 풍요로움을 더하는 Wearable 기기입니다. 세심한 디테일과 뛰어난 성능을 경험해 보세요.,"Aura 자연스러운 밴드 103은(는) 디자인과 기능의 완벽한 조화를 목표로 제작되었습니다. 제작 과정에서부터 사용자의 편의성을 최우선으로 고려하였으며, 오랜 시간 사용해도 변치 않는 가치를 선사합니다. 특히 이번 모델은 기존 제품보다 더 향상된 성능과 효율성을 자랑합니다.",340000,Wearable,https://picsum.photos/seed/103/800/800,"[""고해상도 디자인"",""장시간 배터리 수명"",""친환경 소재 사용"",""사용자 맞춤 설정""]"
